Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Submitters,Collection_Date
MK540365.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT007,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT007, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-22
MK540366.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT008,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT008, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-23
MK540367.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT009,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT009, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-23
MK540368.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT010,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT010, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-24
MK540369.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT011,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT011, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-24
MK540370.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT012,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT012, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-25
MK540371.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT013,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT013, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2014-09-12
MK540372.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT014,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT014, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-12
MK540373.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT015,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT015, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-23
MK540374.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT017,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT017, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-17
MK540375.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT018,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT018, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-18
MK540376.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT019,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT019, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-18
MK540377.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT020-2,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT020-2, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-19
MK540378.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT021,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT021, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-24
MK540379.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT022,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT022, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-24
MK540380.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT023,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT023, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-24
MK540381.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT024,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT024, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-23
MK540382.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT025,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT025, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-25
MK540383.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT027,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT027, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-25
MK540384.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT028-2,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT028-2, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-27
MK540385.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT029,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT029, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-27
MK540386.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT031,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT031, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-28
MK540387.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT032,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT032, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-04-28
MK540388.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT033,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT033, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540389.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT035,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT035, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-05-02
MK540390.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT036,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT036, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540391.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT037,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT037, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-05-03
MK540392.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT038,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT038, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-05-03
MK540393.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT039,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT039, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-05-03
MK540394.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT040,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT040, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-05-06
MK540395.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT041,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT041, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-05-06
MK540396.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT042,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT042, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-05-06
MK540397.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT043,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT043, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013
MK540398.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT045,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT045, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-05
MK540399.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT046,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT046, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-24
MK540400.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT047,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT047, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-09-24
MK540401.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT048,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT048, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-10-23
MK540402.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT049,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT049, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-03-12
MK540403.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPCT050,,"UNVERIFIED_ASMBLY: Human gammaherpesvirus 4 isolate NPCT050, complete genome",171823,complete,China,China,Homo sapiens,"Xu,M., Yao,Y., Chen,H., Zhang,S., Cao,S.-M., Zhang,Z., Luo,B., Liu,Z., Li,Z., Feng,Q.-S., Chen,L.-Z., Guo,X., Jia,W., Chen,M.-Y., Zhao,B., Zhang,X., Xie,S.-H., Peng,R., Chang,E.T., Peterganna,V., Feng,L., Bei,J.-X., Xu,R., Zeng,M.-S., Hildesheim,A., Ye,W., Adami,H.-O., Lin,X., Zhai,W., Zeng,Y.-X., Liu,J.",2013-03-13
