Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_001467.1,,Begomovirus manihotis,Begomovirus manihotis,West Kenyan 844,DNA A,"African cassava mosaic virus isolate West Kenyan 844 segment DNA1, complete sequence",2779,complete,,,Manihot esculenta,,A,west kenyan 844,west kenyan 844, || begomovirus manihotis || begomovirus manihotis || complete ||  ||  || manihot esculenta ||  || west kenyan 844
LC658342.1,,Begomovirus manihotis,Begomovirus manihotis,BFW004-4B,,"African cassava mosaic virus BFW004-4B DNA, complete genome",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-08-21,UNKNOWN,bfw004-4b,bfw004-4, || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2015-08-21 || bfw004-4
LC658343.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Sam:BFW004-6B:15],,"African cassava mosaic virus ACMV-[BF:Sam:BFW004-6B:15] DNA, complete genome",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-08-21,UNKNOWN,acmv-[bf:sam:bfw004-6b:15],acmv-[bf:sam:bfw004-6b:15], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2015-08-21 || acmv-[bf:sam:bfw004-6b:15]
LC658344.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Oro:BFW020-4H:15],,"African cassava mosaic virus ACMV-[BF:Oro:BFW020-4H:15] DNA, complete genome",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-08-22,UNKNOWN,acmv-[bf:oro:bfw020-4h:15],acmv-[bf:oro:bfw020-4h:15], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2015-08-22 || acmv-[bf:oro:bfw020-4h:15]
LC658345.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Oro:BFW021-9E:15],,"African cassava mosaic virus ACMV-[BF:Oro:BFW021-9E:15] DNA, complete genome",2782,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-08-22,UNKNOWN,acmv-[bf:oro:bfw021-9e:15],acmv-[bf:oro:bfw021-9e:15], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2015-08-22 || acmv-[bf:oro:bfw021-9e:15]
LC658346.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Dia:BFW060-12B:15],,"African cassava mosaic virus ACMV-[BF:Dia:BFW060-12B:15] DNA, complete genome",2783,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-09-11,UNKNOWN,acmv-[bf:dia:bfw060-12b:15],acmv-[bf:dia:bfw060-12b:15], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2015-09-11 || acmv-[bf:dia:bfw060-12b:15]
LC658347.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Naf:BFW067-11B:15],,"African cassava mosaic virus ACMV-[BF:Naf:BFW067-11B:15] DNA, complete genome",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-09-12,UNKNOWN,acmv-[bf:naf:bfw067-11b:15],acmv-[bf:naf:bfw067-11b:15], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2015-09-12 || acmv-[bf:naf:bfw067-11b:15]
LC658348.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Baz:BFW148-3B:15],,"African cassava mosaic virus ACMV-[BF:Baz:BFW148-3B:15] DNA, complete genome",2782,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-09-27,UNKNOWN,acmv-[bf:baz:bfw148-3b:15],acmv-[bf:baz:bfw148-3b:15], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2015-09-27 || acmv-[bf:baz:bfw148-3b:15]
LC658956.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Baz:BFW148-10B:15],,"African cassava mosaic virus ACMV-[BF:Baz:BFW148-10B:15] DNA, complete genome",2782,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-09-27,UNKNOWN,acmv-[bf:baz:bfw148-10b:15],acmv-[bf:baz:bfw148-10b:15], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2015-09-27 || acmv-[bf:baz:bfw148-10b:15]
LC658957.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Sag:BFW213-3B:16],DNA-A,"African cassava mosaic virus ACMV-[BF:Sag:BFW213-3B:16] DNA, segment: DNA-A, complete sequence",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2016-03-06,A,acmv-[bf:sag:bfw213-3b:16],acmv-[bf:sag:bfw213-3b:16], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2016-03-06 || acmv-[bf:sag:bfw213-3b:16]
LC658958.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Mil:BFW223-4B:16],DNA-A,"African cassava mosaic virus ACMV-[BF:Mil:BFW223-4B:16] DNA, segment: DNA-A, complete sequence",2782,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2016-03-11,A,acmv-[bf:mil:bfw223-4b:16],acmv-[bf:mil:bfw223-4b:16], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2016-03-11 || acmv-[bf:mil:bfw223-4b:16]
LC658959.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Mil:BFW223-5B:16],DNA-A,"African cassava mosaic virus ACMV-[BF:Mil:BFW223-5B:16] DNA, segment: DNA-A, complete sequence",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2016-03-06,A,acmv-[bf:mil:bfw223-5b:16],acmv-[bf:mil:bfw223-5b:16], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2016-03-06 || acmv-[bf:mil:bfw223-5b:16]
LC658960.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Yel:BFW239-1B:16],DNA-A,"African cassava mosaic virus ACMV-[BF:Yel:BFW239-1B:16] DNA, segment: DNA-A, complete sequence",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2016-10-19,A,acmv-[bf:yel:bfw239-1b:16],acmv-[bf:yel:bfw239-1b:16], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2016-10-19 || acmv-[bf:yel:bfw239-1b:16]
LC658961.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Tin:BFW396-4B:17],DNA-A,"African cassava mosaic virus ACMV-[BF:Tin:BFW396-4B:17] DNA, segment: DNA-A, complete sequence",2780,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2017-05-18,A,acmv-[bf:tin:bfw396-4b:17],acmv-[bf:tin:bfw396-4b:17], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2017-05-18 || acmv-[bf:tin:bfw396-4b:17]
LC658962.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Bob:BFW571-3B:17],DNA-A,"African cassava mosaic virus ACMV-[BF:Bob:BFW571-3B:17] DNA, segment: DNA-A, complete sequence",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2017-05-24,A,acmv-[bf:bob:bfw571-3b:17],acmv-[bf:bob:bfw571-3b:17], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2017-05-24 || acmv-[bf:bob:bfw571-3b:17]
LC658963.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Bio:BFW635-1B:17],DNA-A,"African cassava mosaic virus ACMV-[BF:Bio:BFW635-1B:17] DNA, segment: DNA-A, complete sequence",2783,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2017-07-07,A,acmv-[bf:bio:bfw635-1b:17],acmv-[bf:bio:bfw635-1b:17], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2017-07-07 || acmv-[bf:bio:bfw635-1b:17]
LC658964.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Nou:BFW670-15B:17],DNA-A,"African cassava mosaic virus ACMV-[BF:Nou:BFW670-15B:17] DNA, segment: DNA-A, complete sequence",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2017-08-10,A,acmv-[bf:nou:bfw670-15b:17],acmv-[bf:nou:bfw670-15b:17], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2017-08-10 || acmv-[bf:nou:bfw670-15b:17]
LC659081.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Baz:BFW148-2N:15],DNA-B,"African cassava mosaic virus ACMV-[BF:Baz:BFW148-2N:15] DNA, segment: DNA-B, complete sequence",2731,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-09-27,B,acmv-[bf:baz:bfw148-2n:15],acmv-[bf:baz:bfw148-2n:15], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2015-09-27 || acmv-[bf:baz:bfw148-2n:15]
LC659082.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Oro:BFW477-4B:17],DNA-B,"African cassava mosaic virus ACMV-[BF:Oro:BFW477-4B:17] DNA, segment: DNA-B, complete sequence",2727,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2017-05-20,B,acmv-[bf:oro:bfw477-4b:17],acmv-[bf:oro:bfw477-4b:17], || begomovirus manihotis || begomovirus manihotis || complete || burkina faso || burkina faso || manihot esculenta || 2017-05-20 || acmv-[bf:oro:bfw477-4b:17]
MW788219.1,,African cassava mosaic virus,Begomovirus manihotis,CF:Bambari:1928,DNA-B,"UNVERIFIED: African cassava mosaic virus isolate CF:Bambari:1928 segment DNA-B genomic sequence, sequence",2727,complete,Central African Republic,Central African Republic,Manihot glaziovii,1928,B,cf:bambari:1928,cf:bambari:1928, || african cassava mosaic virus || begomovirus manihotis || complete || central african republic || central african republic || manihot glaziovii || 1928 || cf:bambari:1928
MW788220.1,,African cassava mosaic virus,Begomovirus manihotis,CF:Bambari:1928,DNA-A,"UNVERIFIED: African cassava mosaic virus isolate CF:Bambari:1928 segment DNA-A genomic sequence, sequence",2812,complete,Central African Republic,Central African Republic,Manihot glaziovii,1928,A,cf:bambari:1928,cf:bambari:1928, || african cassava mosaic virus || begomovirus manihotis || complete || central african republic || central african republic || manihot glaziovii || 1928 || cf:bambari:1928
MW848516.1,,Begomovirus manihotis,Begomovirus manihotis,NGSTPS18/DSMZ PV-0421,DNA A,"Begomovirus manihotis isolate NGSTPS18/DSMZ PV-0421 segment DNA A, complete sequence",2782,complete,Nigeria,Nigeria,Manihot esculenta,1994,A,ngstps18/dsmz pv-0421,ngstps18/dsmz pv-0421, || begomovirus manihotis || begomovirus manihotis || complete || nigeria || nigeria || manihot esculenta || 1994 || ngstps18/dsmz pv-0421
MW848517.1,,Begomovirus manihotis,Begomovirus manihotis,NGSTPS18/DSMZ PV-0421,DNA B,"Begomovirus manihotis isolate NGSTPS18/DSMZ PV-0421 segment DNA B, complete sequence",2724,complete,Nigeria,Nigeria,Manihot esculenta,1994,B,ngstps18/dsmz pv-0421,ngstps18/dsmz pv-0421, || begomovirus manihotis || begomovirus manihotis || complete || nigeria || nigeria || manihot esculenta || 1994 || ngstps18/dsmz pv-0421
MN809985.1,,African cassava mosaic virus,Begomovirus manihotis,NG-001,DNA-A,"African cassava mosaic virus isolate NG-001 segment DNA-A, complete sequence",2781,complete,Nigeria,Nigeria,Manihot esculenta,2017-02-01,A,ng-001,ng-001, || african cassava mosaic virus || begomovirus manihotis || complete || nigeria || nigeria || manihot esculenta || 2017-02-01 || ng-001
MN809986.1,,African cassava mosaic virus,Begomovirus manihotis,NG-002,DNA-A,"African cassava mosaic virus isolate NG-002 segment DNA-A, complete sequence",2781,complete,Nigeria,Nigeria,Manihot esculenta,2017-02-01,A,ng-002,ng-002, || african cassava mosaic virus || begomovirus manihotis || complete || nigeria || nigeria || manihot esculenta || 2017-02-01 || ng-002
MN809987.1,,African cassava mosaic virus,Begomovirus manihotis,NG-003,DNA-A,"UNVERIFIED: African cassava mosaic virus isolate NG-003 segment DNA-A, complete sequence",2780,complete,Nigeria,Nigeria,Manihot esculenta,2017-02-01,A,ng-003,ng-003, || african cassava mosaic virus || begomovirus manihotis || complete || nigeria || nigeria || manihot esculenta || 2017-02-01 || ng-003
MN809988.1,,African cassava mosaic virus,Begomovirus manihotis,NG-004,DNA-A,"UNVERIFIED: African cassava mosaic virus isolate NG-004 segment DNA-A, complete sequence",2780,complete,Nigeria,Nigeria,Manihot esculenta,2017-02-01,A,ng-004,ng-004, || african cassava mosaic virus || begomovirus manihotis || complete || nigeria || nigeria || manihot esculenta || 2017-02-01 || ng-004
MT858793.1,,Begomovirus manihotis,Begomovirus manihotis,CM:2:98,A,"Begomovirus manihotis isolate CM:2:98 segment A, complete sequence",2781,complete,Cameroon,Cameroon,Manihot esculenta,1998,A,cm:2:98,cm:2:98, || begomovirus manihotis || begomovirus manihotis || complete || cameroon || cameroon || manihot esculenta || 1998 || cm:2:98
MT858794.1,,Begomovirus manihotis,Begomovirus manihotis,CM:2:98,B,"Begomovirus manihotis isolate CM:2:98 segment B, complete sequence",2725,complete,Cameroon,Cameroon,Manihot esculenta,1998,B,cm:2:98,cm:2:98, || begomovirus manihotis || begomovirus manihotis || complete || cameroon || cameroon || manihot esculenta || 1998 || cm:2:98
MH646683.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM11B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM11B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:km11b:13,acmv-gh:km11b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:km11b:13
MH646684.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM8B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM8B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:km8b:13,acmv-gh:km8b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:km8b:13
MH646685.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM12B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM12B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:km12b:13,acmv-gh:km12b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:km12b:13
MH646686.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM10B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM10B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:km10b:13,acmv-gh:km10b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:km10b:13
MH646687.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM9B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM9B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:km9b:13,acmv-gh:km9b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:km9b:13
MH646688.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM14B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM14B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:km14b:13,acmv-gh:km14b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:km14b:13
MH646689.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM13B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM13B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:km13b:13,acmv-gh:km13b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:km13b:13
MH646690.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM5B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM5B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:km5b:13,acmv-gh:km5b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:km5b:13
MH646691.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM6B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM6B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:km6b:13,acmv-gh:km6b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:km6b:13
MH646692.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM4B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM4B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:km4b:13,acmv-gh:km4b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:km4b:13
MH646693.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KM7B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KM7B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:km7b:13,acmv-gh:km7b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:km7b:13
MH646695.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:MO15B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:MO15B:13 segment DNA-B, complete sequence",2727,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:mo15b:13,acmv-gh:mo15b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:mo15b:13
MH646696.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:MO16B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:MO16B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:mo16b:13,acmv-gh:mo16b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:mo16b:13
MH646697.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU6B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU6B:13 segment DNA-B, complete sequence",2724,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:fu6b:13,acmv-gh:fu6b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:fu6b:13
MH646698.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU7B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU7B:13 segment DNA-B, complete sequence",2724,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:fu7b:13,acmv-gh:fu7b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:fu7b:13
MH646699.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU8B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU8B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:fu8b:13,acmv-gh:fu8b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:fu8b:13
MH646700.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU9B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU9B:13 segment DNA-B, complete sequence",2726,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:fu9b:13,acmv-gh:fu9b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:fu9b:13
MH646701.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU5B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU5B:13 segment DNA-B, complete sequence",2606,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:fu5b:13,acmv-gh:fu5b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:fu5b:13
MH646702.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:FU10B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:FU10B:13 segment DNA-B, complete sequence",2724,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:fu10b:13,acmv-gh:fu10b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:fu10b:13
MH646703.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW19B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW19B:13 segment DNA-B, complete sequence",2625,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:kw19b:13,acmv-gh:kw19b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:kw19b:13
MH646704.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW20B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW20B:13 segment DNA-B, complete sequence",2735,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:kw20b:13,acmv-gh:kw20b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:kw20b:13
MH646705.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW17B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW17B:13 segment DNA-B, complete sequence",2688,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:kw17b:13,acmv-gh:kw17b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:kw17b:13
MH646706.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW16B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW16B:13 segment DNA-B, complete sequence",2778,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:kw16b:13,acmv-gh:kw16b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:kw16b:13
MH646707.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW18B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW18B:13 segment DNA-B, complete sequence",2685,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:kw18b:13,acmv-gh:kw18b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:kw18b:13
MH646708.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW23B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW23B:13 segment DNA-B, complete sequence",2685,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:kw23b:13,acmv-gh:kw23b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:kw23b:13
MH646709.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW13B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW13B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:kw13b:13,acmv-gh:kw13b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:kw13b:13
MH646710.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW14B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW14B:13 segment DNA-B, complete sequence",2726,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:kw14b:13,acmv-gh:kw14b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:kw14b:13
MH646711.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW21B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW21B:13 segment DNA-B, complete sequence",2721,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:kw21b:13,acmv-gh:kw21b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:kw21b:13
MH646712.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KW22B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KW22B:13 segment DNA-B, complete sequence",2719,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:kw22b:13,acmv-gh:kw22b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:kw22b:13
MH646713.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:KWB15:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:KWB15:13 segment DNA-B, complete sequence",2723,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:kwb15:13,acmv-gh:kwb15:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:kwb15:13
MH646714.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:AK12B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:AK12B:13 segment DNA-B, complete sequence",2725,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:ak12b:13,acmv-gh:ak12b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:ak12b:13
MH646715.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:AK16B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:AK16B:13 segment DNA-B, complete sequence",2727,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:ak16b:13,acmv-gh:ak16b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:ak16b:13
MH646716.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV_GH:AK15B:13,DNA-B,"Begomovirus manihotis isolate ACMV_GH:AK15B:13 segment DNA-B, complete sequence",2724,complete,Ghana,Ghana,Manihot esculenta,2013-08,B,acmv_gh:ak15b:13,acmv-gh:ak15b:13, || begomovirus manihotis || begomovirus manihotis || complete || ghana || ghana || manihot esculenta || 2013-08 || acmv-gh:ak15b:13
