Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_004676,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA B,"East African cassava mosaic virus DNA B, complete sequence",2777,complete,Uganda,Uganda,,,B,,, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda || uganda ||  ||  || 
KJ887964,,East African cassava mosaic virus,Begomovirus manihotisafricaense,MG:MG242A3:10,A,"East African cassava mosaic virus isolate MG:MG242A3:10 segment A, complete sequence",2801,complete,Madagascar,Madagascar,Manihot esculenta,2010-04-28,A,mg:mg242a3:10,mg:mg242a3:10, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || madagascar || madagascar || manihot esculenta || 2010-04-28 || mg:mg242a3:10
HG530112,,East African cassava mosaic virus,Begomovirus manihotisafricaense,KE:mtw:CMD-MI85:12,DNA A,"East African cassava mosaic virus DNA A complete sequence, isolate KE:mtw:CMD-MI85:12",2799,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,A,ke:mtw:cmd-mi85:12,ke:mtw:cmd-mi85:12, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi85:12
HG530113,,East African cassava mosaic virus,Begomovirus manihotisafricaense,KE:mtw:CMD-MI88:12,DNA A,"East African cassava mosaic virus DNA A complete sequence, isolate KE:mtw:CMD-MI88:12",2799,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,A,ke:mtw:cmd-mi88:12,ke:mtw:cmd-mi88:12, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi88:12
HG530114,,East African cassava mosaic virus,Begomovirus manihotisafricaense,KE:mtw:CMD-MI96:12,DNA A,"East African cassava mosaic virus DNA A complete sequence, isolate KE:mtw:CMD-MI96:12",2799,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,A,ke:mtw:cmd-mi96:12,ke:mtw:cmd-mi96:12, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi96:12
HG530115,,East African cassava mosaic virus,Begomovirus manihotisafricaense,KE:mtw:CMD-MI93:12,DNA A,"East African cassava mosaic virus DNA A complete sequence, isolate KE:mtw:CMD-MI93:12",2799,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,A,ke:mtw:cmd-mi93:12,ke:mtw:cmd-mi93:12, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi93:12
HG530116,,East African cassava mosaic virus,Begomovirus manihotisafricaense,KE:mtw:CMD-MI95:12,DNA A,"East African cassava mosaic virus DNA A complete sequence, isolate KE:mtw:CMD-MI95:12",2800,complete,Kenya:Mtwapa,Kenya,Manihot esculenta,2012,A,ke:mtw:cmd-mi95:12,ke:mtw:cmd-mi95:12, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || kenya:mtwapa || kenya || manihot esculenta || 2012 || ke:mtw:cmd-mi95:12
JX658692,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,,"UNVERIFIED: East African cassava mosaic virus clone EACMV[MA:07:26N] AV2-like (AV2), CP-like (AV1), REn-like (AC3), and TrAP-like genes, complete sequence; and Rep gene, complete cds",2803,complete,Malawi,Malawi,Manihot esculenta,,UNKNOWN,,, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || malawi || malawi || manihot esculenta ||  || 
JX679247,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA-B,"East African cassava mosaic virus clone EACMV[MA;4N;07]B segment DNA-B, complete sequence",2758,complete,Malawi,Malawi,Manihot esculenta,,B,,, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || malawi || malawi || manihot esculenta ||  || 
JX473582,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,,"East African cassava mosaic virus strain Malawi/2007/8N, complete sequence",2798,complete,Malawi,Malawi,,2007,UNKNOWN,,, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || malawi || malawi ||  || 2007 || 
HE979769,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI13:12],DNA-A,"East African cassava mosaic virus segment DNA-A, isolate EACMV-UG[UG:Nam:CMD-MI13:12], complete genome",2799,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,eacmv-ug[ug:nam:cmd-mi13:12],eacmv-ug[ug:nam:cmd-mi13:12], || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi13:12]
HE979770,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI40:12],DNA-A,"East African cassava mosaic virus segment DNA-A, isolate EACMV-UG[UG:Nam:CMD-MI40:12], complete genome",2799,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,eacmv-ug[ug:nam:cmd-mi40:12],eacmv-ug[ug:nam:cmd-mi40:12], || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi40:12]
HE979771,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI48:12],DNA-A,"East African cassava mosaic virus segment DNA-A, isolate EACMV-UG[UG:Nam:CMD-MI48:12], complete genome",2799,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,eacmv-ug[ug:nam:cmd-mi48:12],eacmv-ug[ug:nam:cmd-mi48:12], || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi48:12]
HE979772,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI53:12],DNA-A,"East African cassava mosaic virus segment DNA-A, isolate EACMV-UG[UG:Nam:CMD-MI53:12], complete genome",2799,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,eacmv-ug[ug:nam:cmd-mi53:12],eacmv-ug[ug:nam:cmd-mi53:12], || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi53:12]
HE979773,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI54:12],DNA-A,"East African cassava mosaic virus segment DNA-A, isolate EACMV-UG[UG:Nam:CMD-MI54:12], complete genome",2799,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,eacmv-ug[ug:nam:cmd-mi54:12],eacmv-ug[ug:nam:cmd-mi54:12], || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi54:12]
HE979774,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI62:12],DNA-A,"East African cassava mosaic virus segment DNA-A, isolate EACMV-UG[UG:Nam:CMD-MI62:12], complete genome",2800,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,eacmv-ug[ug:nam:cmd-mi62:12],eacmv-ug[ug:nam:cmd-mi62:12], || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi62:12]
HE979775,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI63:12],DNA-A,"East African cassava mosaic virus segment DNA-A, isolate EACMV-UG[UG:Nam:CMD-MI63:12], complete genome",2800,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,A,eacmv-ug[ug:nam:cmd-mi63:12],eacmv-ug[ug:nam:cmd-mi63:12], || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi63:12]
HE979776,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI39:12]DNA-B,DNA-B,"East African cassava mosaic virus segment DNA-B, isolate EACMV-UG[UG:Nam:CMD-MI39:12]DNA-B, complete genome",2773,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,B,eacmv-ug[ug:nam:cmd-mi39:12]dna-b,eacmv-ug[ug:nam:cmd-mi39:12]dna, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi39:12]dna
HE979777,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI56:12]DNA-B,DNA-B,"East African cassava mosaic virus segment DNA-B, isolate EACMV-UG[UG:Nam:CMD-MI56:12]DNA-B, complete genome",2773,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,B,eacmv-ug[ug:nam:cmd-mi56:12]dna-b,eacmv-ug[ug:nam:cmd-mi56:12]dna, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi56:12]dna
HE979778,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI61:12]DNA-B,DNA-B,"East African cassava mosaic virus segment DNA-B, isolate EACMV-UG[UG:Nam:CMD-MI61:12]DNA-B, complete genome",2775,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,B,eacmv-ug[ug:nam:cmd-mi61:12]dna-b,eacmv-ug[ug:nam:cmd-mi61:12]dna, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi61:12]dna
HE979779,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI44:12]DNA-B,DNA-B,"East African cassava mosaic virus segment DNA-B, isolate EACMV-UG[UG:Nam:CMD-MI44:12]DNA-B, complete genome",2755,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,B,eacmv-ug[ug:nam:cmd-mi44:12]dna-b,eacmv-ug[ug:nam:cmd-mi44:12]dna, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi44:12]dna
HE979780,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI52:12]DNA-B,DNA-B,"East African cassava mosaic virus segment DNA-B, isolate EACMV-UG[UG:Nam:CMD-MI52:12]DNA-B, complete genome",2773,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012,B,eacmv-ug[ug:nam:cmd-mi52:12]dna-b,eacmv-ug[ug:nam:cmd-mi52:12]dna, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda:namulonge || uganda || manihot esculenta || 2012 || eacmv-ug[ug:nam:cmd-mi52:12]dna
JX910240,,East African cassava mosaic virus-Congo,Begomovirus manihotisafricaense,,DNA-A,"East African cassava mosaic virus-Congo segment DNA-A, complete sequence",2798,complete,Republic of the Congo,Republic of the Congo,Manihot esculenta,2012-06-08,A,,, || east african cassava mosaic virus-congo || begomovirus manihotisafricaense || complete || republic of the congo || republic of the congo || manihot esculenta || 2012-06-08 || 
JN941177,,East African cassava mosaic virus,Begomovirus manihotisafricaense,AO7,A,"East African cassava mosaic virus isolate AO7 segment A, complete sequence",2799,complete,Angola,Angola,Manihot esculenta,2009-01-08,A,ao7,ao7, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || angola || angola || manihot esculenta || 2009-01-08 || ao7
JF909063,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ01B07:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ01B07:2004 segment DNA-A, complete sequence",2802,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2004,A,comoros:anjouan:aj01b07:2004,comoros:anjouan:aj01b07:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2004 || comoros:anjouan:aj01b07:2004
JF909064,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ02B00:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ02B00:2004 segment DNA-A, complete sequence",2802,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2004,A,comoros:anjouan:aj02b00:2004,comoros:anjouan:aj02b00:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2004 || comoros:anjouan:aj02b00:2004
JF909065,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ02B37:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ02B37:2004 segment DNA-A, complete sequence",2801,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2004,A,comoros:anjouan:aj02b37:2004,comoros:anjouan:aj02b37:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2004 || comoros:anjouan:aj02b37:2004
JF909066,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ03B00:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ03B00:2004 segment DNA-A, complete sequence",2801,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2004,A,comoros:anjouan:aj03b00:2004,comoros:anjouan:aj03b00:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2004 || comoros:anjouan:aj03b00:2004
JF909067,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ03B11:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ03B11:2004 segment DNA-A, complete sequence",2801,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2004,A,comoros:anjouan:aj03b11:2004,comoros:anjouan:aj03b11:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2004 || comoros:anjouan:aj03b11:2004
JF909068,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ04B16:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ04B16:2004 segment DNA-A, complete sequence",2801,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2004,A,comoros:anjouan:aj04b16:2004,comoros:anjouan:aj04b16:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2004 || comoros:anjouan:aj04b16:2004
JF909069,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ06B21:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ06B21:2004 segment DNA-A, complete sequence",2801,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2004,A,comoros:anjouan:aj06b21:2004,comoros:anjouan:aj06b21:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2004 || comoros:anjouan:aj06b21:2004
JF909070,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ07B00:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ07B00:2004 segment DNA-A, complete sequence",2801,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2004,A,comoros:anjouan:aj07b00:2004,comoros:anjouan:aj07b00:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2004 || comoros:anjouan:aj07b00:2004
JF909071,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ07B26:2003,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ07B26:2003 segment DNA-A, complete sequence",2801,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2003,A,comoros:anjouan:aj07b26:2003,comoros:anjouan:aj07b26:2003, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2003 || comoros:anjouan:aj07b26:2003
JF909072,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ10B00:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ10B00:2005 segment DNA-A, complete sequence",2801,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2005,A,comoros:anjouan:aj10b00:2005,comoros:anjouan:aj10b00:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2005 || comoros:anjouan:aj10b00:2005
JF909073,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ18BW3:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ18BW3:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009,A,comoros:anjouan:aj18bw3:2009,comoros:anjouan:aj18bw3:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj18bw3:2009
JF909074,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ21AL3:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ21AL3:2009 segment DNA-A, complete sequence",2800,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009,A,comoros:anjouan:aj21al3:2009,comoros:anjouan:aj21al3:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj21al3:2009
JF909075,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ26BP1:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ26BP1:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009,A,comoros:anjouan:aj26bp1:2009,comoros:anjouan:aj26bp1:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj26bp1:2009
JF909076,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ29BE2:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ29BE2:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009,A,comoros:anjouan:aj29be2:2009,comoros:anjouan:aj29be2:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj29be2:2009
JF909077,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Anjouan:AJ32BT2:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Anjouan:AJ32BT2:2009 segment DNA-A, complete sequence",2765,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009,A,comoros:anjouan:aj32bt2:2009,comoros:anjouan:aj32bt2:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: anjouan || comoros || manihot esculenta || 2009 || comoros:anjouan:aj32bt2:2009
JF909082,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC05B25:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC05B25:2008 segment DNA-A, complete sequence",2802,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008,A,comoros:grande-comore:gc05b25:2008,comoros:grande-comore:gc05b25:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc05b25:2008
JF909084,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC09B29:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC09B29:2008 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008,A,comoros:grande-comore:gc09b29:2008,comoros:grande-comore:gc09b29:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc09b29:2008
JF909090,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC12B61:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC12B61:2008 segment DNA-A, complete sequence",2802,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008,A,comoros:grande-comore:gc12b61:2008,comoros:grande-comore:gc12b61:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc12b61:2008
JF909092,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC14E06:2008,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC14E06:2008 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008,A,comoros:grande-comore:gc14e06:2008,comoros:grande-comore:gc14e06:2008, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc14e06:2008
JF909096,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC18B00:2005,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC18B00:2005 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2005,A,comoros:grande-comore:gc18b00:2005,comoros:grande-comore:gc18b00:2005, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2005 || comoros:grande-comore:gc18b00:2005
JF909097,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC20B00:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC20B00:2004 segment DNA-A, complete sequence",2802,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2004,A,comoros:grande-comore:gc20b00:2004,comoros:grande-comore:gc20b00:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2004 || comoros:grande-comore:gc20b00:2004
JF909099,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC22AY2:2004,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC22AY2:2004 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2004,A,comoros:grande-comore:gc22ay2:2004,comoros:grande-comore:gc22ay2:2004, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2004 || comoros:grande-comore:gc22ay2:2004
JF909106,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC30BP1:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC30BP1:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009,A,comoros:grande-comore:gc30bp1:2009,comoros:grande-comore:gc30bp1:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc30bp1:2009
JF909110,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC32AF2:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC32AF2:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009,A,comoros:grande-comore:gc32af2:2009,comoros:grande-comore:gc32af2:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc32af2:2009
JF909111,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC32BY1:2010,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC32BY1:2010 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2010,A,comoros:grande-comore:gc32by1:2010,comoros:grande-comore:gc32by1:2010, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2010 || comoros:grande-comore:gc32by1:2010
JF909115,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC36BI2:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC36BI2:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009,A,comoros:grande-comore:gc36bi2:2009,comoros:grande-comore:gc36bi2:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc36bi2:2009
JF909118,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC43AO3:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC43AO3:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009,A,comoros:grande-comore:gc43ao3:2009,comoros:grande-comore:gc43ao3:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc43ao3:2009
JF909119,,East African cassava mosaic virus-Kenya,Begomovirus manihotisafricaense,Comoros:Grande-Comore:GC45AI1:2009,DNA-A,"East African cassava mosaic virus-Kenya isolate Comoros:Grande-Comore:GC45AI1:2009 segment DNA-A, complete sequence",2801,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009,A,comoros:grande-comore:gc45ai1:2009,comoros:grande-comore:gc45ai1:2009, || east african cassava mosaic virus-kenya || begomovirus manihotisafricaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc45ai1:2009
