Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_011583.1,RefSeq,GCF_000882315.1,,,PRJNA485481,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,EACMKV-[K298],DNA A,"East African cassava mosaic Kenya virus DNA A, complete genome",2797,complete,"Kenya:Machakos, Mitaboni/Ngiini",Kenya,,Manihot esculenta,,"Bull,S.E., Briddon,R.W., Sserubombwe,W.S., Ngugi,K., Markham,P.G., Stanley,J.","National Center for Biotechnology Information, NIH",USA,1,,2008-11-14,ssDNA(+/-),A,eacmkv-[k298],eacmkv-[k298]," || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || kenya:machakos, mitaboni/ngiini || kenya || manihot esculenta ||  || eacmkv-[k298]"
KJ888069.1,GenBank,set:ab367efa118e9c3af7f4490527b29959e64e47ef,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG637A4:11,A,"East African cassava mosaic Kenya virus isolate MG:MG637A4:11 segment A, complete sequence",2797,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg637a4:11,mg:mg637a4:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg637a4:11
KJ888071.1,GenBank,set:fd00a0f38ee543f0f896d4a0ec065ba627a994ba,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG638A5:11,A,"East African cassava mosaic Kenya virus isolate MG:MG638A5:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg638a5:11,mg:mg638a5:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg638a5:11
KJ888072.1,GenBank,set:eff3468fce085f0bfa9dab7123a0a31562eeb177,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG638A8:11,A,"East African cassava mosaic Kenya virus isolate MG:MG638A8:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg638a8:11,mg:mg638a8:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg638a8:11
KJ888073.1,GenBank,set:d755d065fc98e598b49c5557b890725c7e53a94a,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG640A1:11,A,"East African cassava mosaic Kenya virus isolate MG:MG640A1:11 segment A, complete sequence",2797,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg640a1:11,mg:mg640a1:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg640a1:11
KJ888074.1,GenBank,set:a8847045d4b7b4c1ebbf424285d988c2f13ac3ef,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG640A3:11,A,"East African cassava mosaic Kenya virus isolate MG:MG640A3:11 segment A, complete sequence",2797,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg640a3:11,mg:mg640a3:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg640a3:11
KJ888076.1,GenBank,set:c785a86e40c6c0e1446ad1fc02afd09f4a605e3f,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG648A8:11,A,"East African cassava mosaic Kenya virus isolate MG:MG648A8:11 segment A, complete sequence",2797,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg648a8:11,mg:mg648a8:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg648a8:11
KJ888079.1,GenBank,set:ad8007097fe5bf794d6673073be91ed51b10773b,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG649A1:11,A,"East African cassava mosaic Kenya virus isolate MG:MG649A1:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg649a1:11,mg:mg649a1:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg649a1:11
KJ888081.1,GenBank,set:8f081226b609ea13170f234bcaa02412c5e35519,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG650A7:11,A,"East African cassava mosaic Kenya virus isolate MG:MG650A7:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg650a7:11,mg:mg650a7:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg650a7:11
KJ888083.1,GenBank,set:3e918bd4728839f285f00e8ea441c0d95928dbf0,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG652A11:11,A,"East African cassava mosaic Kenya virus isolate MG:MG652A11:11 segment A, complete sequence",2797,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg652a11:11,mg:mg652a11:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg652a11:11
KJ888084.1,GenBank,set:c02ee4bedbd32ae4f87f9cbe003b43f72a2c7d66,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG653A3:11,A,"East African cassava mosaic Kenya virus isolate MG:MG653A3:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg653a3:11,mg:mg653a3:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg653a3:11
KJ888085.1,GenBank,set:44fee13ddc5d3560e2d7a6a518962a457dbc09dc,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG655A2:11,A,"East African cassava mosaic Kenya virus isolate MG:MG655A2:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg655a2:11,mg:mg655a2:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg655a2:11
KJ888087.1,GenBank,set:272959bd246548b67b70a9d8beacbb218821cabc,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG656A2:11,A,"East African cassava mosaic Kenya virus isolate MG:MG656A2:11 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg656a2:11,mg:mg656a2:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg656a2:11
JF909078.1,GenBank,set:b18b3bd6fe772677b3a0d23080be8640a004a273,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC01B01:2005,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC01B01:2005 segment DNA-A, complete sequence",2797,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2005,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc01b01:2005,comoros:grande-comore:gc01b01:2005, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2005 || comoros:grande-comore:gc01b01:2005
JF909079.1,GenBank,set:555e315e01a2d929ccbd84b1d95bf9568af2df56,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC03B13:2005,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC03B13:2005 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2005,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc03b13:2005,comoros:grande-comore:gc03b13:2005, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2005 || comoros:grande-comore:gc03b13:2005
JF909080.1,GenBank,set:98d712034e93c5f2ca90e195fb5e0ebcc3056ab7,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC03E02:2006,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC03E02:2006 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2006,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc03e02:2006,comoros:grande-comore:gc03e02:2006, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2006 || comoros:grande-comore:gc03e02:2006
JF909081.1,GenBank,set:cba56b8db9e3675a548b8c0d5df8316dcb28e6e7,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC04B19:2005,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC04B19:2005 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2005,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc04b19:2005,comoros:grande-comore:gc04b19:2005, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2005 || comoros:grande-comore:gc04b19:2005
JF909083.1,GenBank,set:f65d699968af98ffb07546188888f68da9c5a40e,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC07B31:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC07B31:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc07b31:2008,comoros:grande-comore:gc07b31:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc07b31:2008
JF909085.1,GenBank,set:6d887050a6cf6f9ff4233c67d1a18658dd183d33,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC09B43:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC09B43:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc09b43:2008,comoros:grande-comore:gc09b43:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc09b43:2008
JF909086.1,GenBank,set:b81f5909d399c433d800644cc33b8ace0690df57,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC10B53:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC10B53:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc10b53:2008,comoros:grande-comore:gc10b53:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc10b53:2008
JF909087.1,GenBank,set:697c1112133267bc7321e8e5ca293f08e5239d3f,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC11AA6:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC11AA6:2008 segment DNA-A, complete sequence",2800,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc11aa6:2008,comoros:grande-comore:gc11aa6:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc11aa6:2008
JF909088.1,GenBank,set:2066f7f142c0a91ab7f8ca83657b64e33a2e83e7,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC11B32:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC11B32:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc11b32:2008,comoros:grande-comore:gc11b32:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc11b32:2008
JF909089.1,GenBank,set:69d78a7b7e2e5771c6bdd8cc6009bfa8a684c077,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC11B55:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC11B55:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc11b55:2008,comoros:grande-comore:gc11b55:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc11b55:2008
JF909091.1,GenBank,set:c2b28f3c22a9b9ca4e6062ee9c86d83aca5a50f0,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC14B73:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC14B73:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc14b73:2008,comoros:grande-comore:gc14b73:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc14b73:2008
JF909093.1,GenBank,set:37df84366275d5cd2032e0cb1377359ff2c09803,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC15B21:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC15B21:2008 segment DNA-A, complete sequence",2800,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2008,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc15b21:2008,comoros:grande-comore:gc15b21:2008, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2008 || comoros:grande-comore:gc15b21:2008
JF909095.1,GenBank,set:1a9b9bbf05e65f272b59cf03d2587cf6257cdec9,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC16B00:2004,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC16B00:2004 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2004,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc16b00:2004,comoros:grande-comore:gc16b00:2004, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2004 || comoros:grande-comore:gc16b00:2004
JF909098.1,GenBank,set:808b78ba42c5c5871ce8f6495e74ff960e703a00,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC21AT2:2004,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC21AT2:2004 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2004,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc21at2:2004,comoros:grande-comore:gc21at2:2004, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2004 || comoros:grande-comore:gc21at2:2004
JF909100.1,GenBank,set:21ce137f9dd3e855eb9e0631d7455cb30ef53ffc,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC26BA1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC26BA1:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc26ba1:2009,comoros:grande-comore:gc26ba1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc26ba1:2009
JF909101.1,GenBank,set:3b7bb8f9db915633d390e11937276e7c94cb7b1a,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC27AG1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC27AG1:2009 segment DNA-A, complete sequence",2797,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc27ag1:2009,comoros:grande-comore:gc27ag1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc27ag1:2009
JF909102.1,GenBank,set:f9fe9993456a5103dc05fd9f0f9e88a3f10b6e41,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC27BF1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC27BF1:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc27bf1:2009,comoros:grande-comore:gc27bf1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc27bf1:2009
JF909103.1,GenBank,set:f6e5485d45b112df1e3063dcbccf465c6d24eb59,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,Comoros:Grande-Comore:GC28AK1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC28AK1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,,Manihot esculenta,,"De Bruyn,A., Villemot,J., Lefeuvre,P., Villar,E., Hoareau,M., Harimalala,M., Abdoul-Karime,A.L., Abdou-Chakour,C., Reynaud,B., Harkins,G.W., Varsani,A., Martin,D.P., Lett,J.M., Lett,J.-M.","CIRAD, UMR PVBMT",France,1,2009,2012-06-20,ssDNA(+/-),A,comoros:grande-comore:gc28ak1:2009,comoros:grande-comore:gc28ak1:2009, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || comoros: grande-comore || comoros || manihot esculenta || 2009 || comoros:grande-comore:gc28ak1:2009
